name,link,rating,num_reviews,price,details,num_bookings,review_url
3. Mr. Tipple's Recording Studio,https://www.opentable.com/r/mr-tipples-recording-studio-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(115),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Cocktail Bar • Civic Center / Hayes Valley / Van Ness,Booked 15 times today|Top experience,https://www.opentable.com/r/mr-tipples-recording-studio-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
4. Otoro Sushi,https://www.opentable.com/otoro-sushi?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(691),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Japanese • Civic Center / Hayes Valley / Van Ness,Booked 41 times today,https://www.opentable.com/otoro-sushi?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
5. Doppio Zero - San Francisco,https://www.opentable.com/r/doppio-zero-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.6 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_28k_iav1_Eiqo1_PHjcTNC _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.6</div>",(52),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Italian • Downtown / Union Square,Booked 18 times today,https://www.opentable.com/r/doppio-zero-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
6. Sushi Ondo,https://www.opentable.com/r/sushi-ondo-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.6 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_28k_iav1_Eiqo1_PHjcTNC _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.6</div>",(88),"$$$$<span class=""_1s81GB3gesncA-230LO-_w""></span>",• Japanese • SOMA,Booked 23 times today,https://www.opentable.com/r/sushi-ondo-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
7. Absinthe Brasserie and Bar - SF,https://www.opentable.com/absinthe-brasserie-and-bar?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.6 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_28k_iav1_Eiqo1_PHjcTNC _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.6</div>",(6431),"$$$<span class=""_1s81GB3gesncA-230LO-_w"">$</span>",• French • Civic Center / Hayes Valley / Van Ness,Booked 43 times today,https://www.opentable.com/absinthe-brasserie-and-bar?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
8. BAIA,https://www.opentable.com/r/baia-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.6 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_28k_iav1_Eiqo1_PHjcTNC _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.6</div>",(221),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Italian • Civic Center / Hayes Valley / Van Ness,Booked 64 times today|You're in luck! We still have 2 timeslots left,https://www.opentable.com/r/baia-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
9. Il Borgo,https://www.opentable.com/r/il-borgo-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.8 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.8</div>",(497),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Italian • Civic Center / Hayes Valley / Van Ness,Booked 8 times today,https://www.opentable.com/r/il-borgo-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
10. Basil Canteen @ 11th Street,https://www.opentable.com/basil-canteen?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(413),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Thai • SOMA,Booked 12 times today,https://www.opentable.com/basil-canteen?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
1. Burma Love,https://www.opentable.com/r/burma-love-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.8 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.8</div>",(7),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Burmese • Mission,Booked 31 times today,https://www.opentable.com/r/burma-love-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
2. Nakama Sushi - San Francisco,https://www.opentable.com/r/nakama-sushi-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(94),"$$$<span class=""_1s81GB3gesncA-230LO-_w"">$</span>",• Sushi • Civic Center / Hayes Valley / Van Ness,Booked 20 times today,https://www.opentable.com/r/nakama-sushi-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
