name,link,rating,num_reviews,price,cuisine,district,num_bookings
Perbacco,https://www.opentable.com/r/perbacco-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/perbacco-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(6272)</span> <span class=""screen-reader"">Review - Perbacco</span></a>",(6272),$    $,Italian,Financial District / Embarcadero,Booked 44 times today
Alamo Square Seafood Grill,https://www.opentable.com/alamo-square-seafood-grill?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/alamo-square-seafood-grill?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(1466)</span> <span class=""screen-reader"">Review - Alamo Square Seafood Grill</span></a>",(1466),$    $,Seafood,Civic Center / Hayes Valley / Van Ness,
Rose's Cafe,https://www.opentable.com/r/roses-cafe-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/roses-cafe-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(407)</span> <span class=""screen-reader"">Review - Rose's Cafe</span></a>",(407),$    $,Californian,Marina / Cow Hollow / Presidio,Booked 27 times today
Harris',https://www.opentable.com/r/harris-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/harris-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(4036)</span> <span class=""screen-reader"">Review - Harris'</span></a>",(4036),$    $    $    $,Steakhouse,Russian Hill,Booked 16 times today
Montesacro SF,https://www.opentable.com/r/montesacro-pinseria-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/montesacro-pinseria-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(1326)</span> <span class=""screen-reader"">Review - Montesacro SF</span></a>",(1326),$    $,Pizzeria,SOMA,Booked 36 times today
Mathilde French Bistro,https://www.opentable.com/r/mathilde-french-bistro-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/mathilde-french-bistro-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(2000)</span> <span class=""screen-reader"">Review - Mathilde French Bistro</span></a>",(2000),$    $    $    $,French,SOMA,Booked 31 times today
The Fly Trap,https://www.opentable.com/the-fly-trap?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/the-fly-trap?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(1168)</span> <span class=""screen-reader"">Review - The Fly Trap</span></a>",(1168),$    $,Contemporary American,SOMA,Booked 42 times today
California Fish Market Restaurant,https://www.opentable.com/r/california-fish-market-restaurant-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.7 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/california-fish-market-restaurant-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(58)</span> <span class=""screen-reader"">Review - California Fish Market Restaurant</span></a>",(58),$    $,Italian,North Beach,Booked 11 times today
Burma Love,https://www.opentable.com/r/burma-love-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.8 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/r/burma-love-san-francisco?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(7)</span> <span class=""screen-reader"">Review - Burma Love</span></a>",(7),$    $,Burmese,Mission,Booked 35 times today
Dirty Habit,https://www.opentable.com/dirty-habit?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&corrid=05d266af-16a6-45cf-a655-ebb98d6248ee,"<div role=""img"" class=""star-rating-score"" aria-label=""4.7 stars out of 5"">    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-full.svg""></span>    <span class=""star"" aria-hidden=""true""><img src=""/s/static/images/compressed/star-threequarter.svg""></span> </div> <div class=""review-rating-text xsmall-bold""> <span>Exceptional</span></div>  <a class=""review-link"" href=""https://www.opentable.com/dirty-habit?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=05d266af-16a6-45cf-a655-ebb98d6248ee#reviews"" target=""_blank""><span class=""underline-hover"">(584)</span> <span class=""screen-reader"">Review - Dirty Habit</span></a>",(584),$    $    $,Californian,Downtown / Union Square,Booked 17 times today
