name,link,rating,num_reviews,price,cuisine,district,num_bookings
Acquolina,https://www.opentable.com/acquolina,4.4,252,$$$,Italian,North Beach,32
Mr,https://www.opentable.com/r/mr-digbys-san-francisco,4.4,26,$$$,American,Noe Valley,28
Digby's,https://www.opentable.com/r/mr-digbys-san-francisco,4.4,26,$$$,American,Noe Valley,30
Parallel 37,https://www.opentable.com/r/parallel37-san-francisco,4.4,752,$$$,American,Nob Hill,0
McCormick & Kuleto's Seafood Restaurant,https://www.opentable.com/r/mccormick-and-kuletos-seafood-restaurant-san-francisco,4.4,4896,$$,Seafood,Fisherman's Wharf,64
Aquitaine,https://www.opentable.com/aquitaine-san-francisco,4.4,203,$$,French,Financial District / Embarcadero,0
Pachino Pizzeria,https://www.opentable.com/r/pachino-pizzeria-san-francisco,4.4,1,$$,Pizzeria,Financial District / Embarcadero,0
Le Colonial - SF,https://www.opentable.com/le-colonial-san-francisco,4.4,3369,$$$,Vietnamese,Downtown / Union Square,0
Cesario's,https://www.opentable.com/cesarios,4.4,900,$$$,Italian,Downtown / Union Square,16
Sam’s Grill & Seafood Restaurant,https://www.opentable.com/sams-grill-and-seafood-restaurant,4.4,594,$$$,Seafood,Downtown / Union Square,0
The Rotunda at Neiman Marcus - San Francisco,https://www.opentable.com/the-rotunda-at-neiman-marcus,4.4,4271,$$$,Contemporary American,Downtown / Union Square,13
Villon,https://www.opentable.com/r/villon-san-francisco,4.4,623,$$$,Californian,Downtown / Union Square,8
Spice of America,https://www.opentable.com/r/spice-of-america-san-francisco,4.4,82,$$,Indian,Civic Center / Hayes Valley / Van Ness,0
Bistro 10UN,https://www.opentable.com/bistro-10un,4.4,165,$$,American,Civic Center / Hayes Valley / Van Ness,0
Z & Y Restaurant,https://www.opentable.com/z-and-y-restaurant,4.4,203,$$,Chinese,Chinatown,0
Lao Table,https://www.opentable.com/r/lao-table-san-francisco,4.3,232,$$,Thai,SOMA,0
Fringale,https://www.opentable.com/r/fringale-san-francisco,4.3,2354,$$$,French,SOMA,0
Osha Thai 3rd Street,https://www.opentable.com/osha-thai-3rd-street,4.3,283,$$,Thai,SOMA,0
Camp BBQ,https://www.opentable.com/camp-bbq,4.3,62,$$,Japanese,Richmond District,3
Chili House,https://www.opentable.com/chili-house,4.3,211,$$,Chinese,Richmond District,9
Barrel Head Brewhouse,https://www.opentable.com/r/barrel-head-brewhouse-san-francisco,4.3,19,$$,American,North Panhandle / USF,0
